yearID,G,AB,RBI,BB,SO,Salary,Birth_Year,AgeInYear,Batting_Average,N_Y_Batting_Average
2010,42,0,0,0,0,700000,1983,27,0,0
2007,121,348,49,43,60,423000,1978,29,0.2643678161,0.2453703704
1997,23,40,1,3,12,150000,1975,22,0.1,0.1875
1996,134,541,89,45,82,7425000,1969,27,0.314232902,0.296435272
2005,63,0,0,0,0,327000,1978,27,0,0
1997,104,186,33,26,46,152500,1972,25,0.2580645161,0.2110726644
1998,33,2,0,0,0,5000000,1966,32,0,0.125
2006,9,15,2,1,5,,1980,26,0.4,0.2433460076
2007,30,69,5,1,10,,1984,23,0.2898550725,0.2405063291
2003,134,515,60,24,70,407500,1975,28,0.2796116505,0.3096085409
2011,46,134,15,14,40,850000,1979,32,0.1940298507,0.1794871795
2014,3,3,0,0,0,,1989,25,0.3333333333,0
2003,27,74,7,3,18,,1974,29,0.2027027027,0.1818181818
2006,12,0,0,0,0,,1982,24,0,0
2000,70,0,0,0,0,6600000,1967,33,0,0
2000,61,0,0,0,0,,1972,28,0,0
1995,3,0,0,0,0,109000,1970,25,0,0.2
2002,89,129,16,14,28,300000,1964,38,0.2093023256,0.25
2010,14,27,1,0,7,,1987,23,0.1481481481,0.2769230769
2011,11,0,0,0,0,,1984,27,0,0
1991,25,40,9,9,7,,1967,24,0.2,0.1
2010,85,273,33,25,66,415700,1983,27,0.2490842491,0.2882562278
1991,97,271,32,17,48,,1968,23,0.2509225092,0.2394957983
2004,142,503,69,40,112,305000,1981,23,0.2644135189,0.2216748768
1991,69,2,0,0,1,155000,1962,29,0,0
2004,31,55,7,1,24,2975000,1973,31,0.1272727273,0.2
2008,79,290,44,26,27,1200000,1980,28,0.2689655172,0.2997416021
1993,32,65,3,3,37,2625000,1962,31,0.0769230769,0.1578947368
1995,88,316,59,36,66,229000,1966,29,0.3132911392,0.3001841621
1998,62,196,24,21,40,3200000,1968,30,0.306122449,0.2766990291
2000,72,4,0,0,2,245000,1973,27,0.5,0
2014,32,4,0,0,1,7000000,1984,30,0,0.25
2012,106,403,74,40,103,10250000,1984,28,0.3027295285,0.2699619772
2010,24,0,0,0,0,,1986,24,0,0
2013,29,5,0,0,3,15950000,1978,35,0,0.1333333333
2013,25,77,8,2,17,,1987,26,0.2987012987,0
2005,6,0,0,0,0,,1983,22,0,0.2
1997,76,88,10,6,12,375000,1964,33,0.2272727273,0
2007,9,0,0,0,0,,1983,24,0,0
2009,75,0,0,0,0,418000,1983,26,0,0
2008,152,538,104,62,146,411000,1978,30,0.2992565056,0.2654320988
2009,65,0,0,0,0,4250000,1979,30,0,0
2000,8,14,2,1,4,,1973,27,0.2142857143,0.2222222222
2009,38,64,7,2,14,9875000,1978,31,0.171875,0.1363636364
2004,90,250,37,23,50,3000000,1973,31,0.32,0.1811594203
2002,30,5,1,1,3,14000000,1971,31,0,0
1997,158,594,96,75,75,4400000,1967,30,0.2962962963,0.2806026365
1991,152,587,64,46,42,3420000,1961,30,0.2879045997,0.2875
2011,158,572,87,89,126,452500,1986,25,0.2587412587,0.3271500843
2008,4,0,0,0,0,,1984,24,0,0
1998,57,168,17,11,43,177500,1969,29,0.2857142857,0.2702702703
2002,101,297,40,38,88,2650000,1969,33,0.2491582492,0.2329545455
2010,57,0,0,0,0,2000000,1973,37,0,0
2010,136,465,34,42,51,4312500,1982,28,0.2623655914,0.3052631579
2007,32,57,6,1,17,10037283,1974,33,0.2280701754,0.2857142857
2010,98,266,36,22,64,410000,1982,28,0.2894736842,0.3026819923
2011,78,1,0,0,1,435000,1982,29,0,0
2011,13,0,0,0,0,2000000,1978,33,0,0
1995,3,5,0,0,2,140000,1968,27,0,0.1428571429
1991,57,0,0,0,0,950000,1960,31,0,0
1991,24,52,5,3,14,120000,1967,24,0.1153846154,0.1230769231
1997,29,0,0,0,0,165000,1970,27,0,0
2004,5,7,2,0,0,,1984,20,0.4285714286,0.2727272727
2003,32,0,0,0,0,300000,1978,25,0,0
2004,147,547,78,66,121,8500000,1971,33,0.2888482633,0.2368421053
1999,32,43,7,1,11,,1973,26,0.1395348837,0.1621621622
1999,29,56,3,1,22,250000,1968,31,0.2142857143,0
1993,19,41,3,5,9,,1969,24,0.2926829268,0.2727272727
1998,160,557,91,96,73,3750000,1968,30,0.3536804309,0.2977624785
2007,33,51,3,1,23,380000,1984,23,0.1764705882,0.1290322581
2012,35,54,6,1,18,600000,1979,33,0.3148148148,0.2
2002,110,263,35,30,22,1000000,1969,33,0.3003802281,0.2712933754
1993,82,228,25,35,35,,1966,27,0.2763157895,0.0909090909
2014,32,57,4,2,24,515000,1989,25,0.0526315789,0.0333333333
2006,108,301,31,8,25,2500000,1973,33,0.2425249169,0.171875
1997,37,78,4,0,16,185000,1969,28,0.1923076923,0.219858156
2000,51,200,26,13,15,,1977,23,0.31,0.3273905997
2008,25,2,0,0,2,,1976,32,0,0
1999,20,45,3,2,9,,1970,29,0.1555555556,0.0909090909
2006,72,0,0,0,0,415000,1977,29,0,0
2010,156,585,83,27,82,1225000,1981,29,0.2820512821,0.2687296417
1991,101,233,17,13,40,1200000,1958,33,0.2360515021,0.25
2002,38,48,3,6,13,450000,1964,38,0.2083333333,0.2413793103
2001,11,0,0,0,0,235000,1974,27,0,0.2
2002,119,421,46,41,81,1750000,1973,29,0.2636579572,0.214953271
2012,16,67,10,2,14,490500,1983,29,0.3134328358,0.1953125
2003,69,274,47,13,36,,1983,20,0.3065693431,0.2545454545
2003,53,116,13,5,19,,1978,25,0.2586206897,0.1475409836
1993,20,54,12,11,9,118000,1968,25,0.2777777778,0.2342007435
1994,105,403,52,39,57,1650000,1963,31,0.3200992556,0.3040540541
2001,15,12,3,1,2,212000,1972,29,0.3333333333,0.2772511848
2012,65,0,0,0,0,1600000,1985,27,0,0
2000,4,0,0,0,0,,1977,23,0,0
2004,34,3,0,0,1,305000,1977,27,0,0
1995,25,84,10,4,14,550000,1962,33,0.2380952381,0.256
2001,30,68,7,5,13,,1976,25,0.2058823529,0.2893401015
2014,101,405,70,19,98,,1990,24,0.3185185185,0.214559387
2006,13,0,0,0,0,,1981,25,0,0
2009,59,170,11,18,21,4900000,1976,33,0.2176470588,0.24
1990,49,1,0,0,0,260000,1962,28,0,0
1991,35,22,0,2,9,100000,1969,22,0.1363636364,0.0476190476
1999,35,105,14,5,33,201500,1975,24,0.2571428571,0.2777777778
2013,21,69,7,1,22,493000,1990,23,0.2608695652,0.2337662338
1996,129,445,42,30,75,822500,1967,29,0.2651685393,0.2597402597
1993,30,7,0,0,3,117500,1967,26,0.1428571429,0
2005,156,558,99,89,167,6000000,1974,31,0.2634408602,0.2639593909
2001,49,153,10,12,35,,1971,30,0.1960784314,0.2483221477
2010,65,0,0,1,0,4500000,1977,33,0,0
2004,33,3,0,0,1,340000,1979,25,0,0
1997,59,111,13,8,27,200000,1967,30,0.2522522523,0.2956989247
2009,106,436,73,60,92,4766666,1982,27,0.247706422,0.2109375
2010,33,128,15,9,35,5766666,1982,28,0.2109375,0.223880597
1993,30,1,0,0,1,165000,1966,27,0,0.25
1998,54,147,16,4,15,800000,1965,33,0.231292517,0.2519685039
2012,12,35,6,2,5,,1985,27,0.3142857143,0.1458333333
2010,41,1,0,0,1,416900,1983,27,0,0
1994,95,322,43,34,68,675000,1965,29,0.2795031056,0.2352941176
1998,22,1,1,1,0,,1965,33,0,0.3333333333
1998,123,384,66,45,62,1600000,1966,32,0.2734375,0.2875318066
2013,55,5,0,1,2,875000,1984,29,0,0.2857142857
2001,76,0,0,0,0,2450000,1967,34,0,0
1991,139,505,86,75,125,3800000,1962,29,0.2653465347,0.2371794872
1997,126,306,30,27,81,400000,1963,34,0.2614379085,0.1551724138
1996,7,6,0,0,1,4608333,1961,35,0.3333333333,0.2105263158
1991,33,1,0,0,1,1900000,1953,38,0,0
2002,7,13,2,0,4,,1977,25,0.2307692308,0.2054794521
2000,159,582,115,112,94,7100000,1968,32,0.3281786942,0.2205882353
1993,129,340,42,40,57,1475000,1959,34,0.2617647059,0.2738589212
2004,33,66,3,0,24,2250000,1973,31,0.196969697,0.2
1999,33,47,3,3,17,400000,1973,26,0.2127659574,0
2003,104,389,61,39,88,2750000,1971,32,0.2622107969,0.2564655172
